明代 #于谦 #于谦（1398年5月13日－1457年2月16日），字廷益，号节庵，官至少保，世称于少保。汉族，明朝浙江承宣布政使司杭州钱塘县人。因参与平定汉王朱高煦谋反有功，得到明宣宗器重，担任明朝山西河南巡抚。明英宗时期，因得罪王振下狱，后释放，起为兵部侍郎。土木之变后英宗被俘，郕王朱祁钰监国，擢兵部尚书。于谦力排南迁之议，决策守京师，与诸大臣请郕王即位。瓦剌兵逼京师，督战，击退之。论功加封少保，总督军务，终迫也先遣使议和，使英宗得归。天顺元年因“谋逆”罪被冤杀。谥曰忠肃。有《于忠肃集》。于谦与岳飞、张煌言并称“西湖三杰”。► 28篇诗文 #https://so.gushiwen.org/authors/authorvsw_f3054465947dA1.aspx # 28篇诗文
明代 #唐寅 #唐寅（1470—1523），字伯虎，一字子畏，号六如居士、桃花庵主、鲁国唐生、逃禅仙吏等，汉族，南直隶苏州吴县人。明代著名画家、文学家。据传他于明宪宗成化六年庚寅年寅月寅日寅时生。他玩世不恭而又才气横溢，诗文擅名，与祝允明、文征明、徐祯卿并称“江南四大才子（吴门四才子）”，画名更著，与沈周、文征明、仇英并称“吴门四家”。► 420篇诗文 #https://so.gushiwen.org/authors/authorvsw_bdbd5be2bd0bA1.aspx # 420篇诗文
明代 #张岱 #张岱（1597年～1679年）又名维城，字宗子，又字石公，号陶庵、天孙，别号蝶庵居士，晚号六休居士，汉族，山阴(今浙江绍兴)人。寓居杭州。出生仕宦世家，少为富贵公子，精于茶艺鉴赏，爱繁华，好山水，晓音乐，戏曲，明亡后不仕，入山著书以终。张岱为明末清初文学家、史学家，其最擅长散文，著有《琅嬛文集》《陶庵梦忆》《西湖梦寻》《三不朽图赞》《夜航船》等绝代文学名著。► 4篇诗文 #https://so.gushiwen.org/authors/authorvsw_cce8f82d981bA1.aspx # 4篇诗文
明代 #杨慎 #杨慎（1488～1559）明代文学家，明代三大才子之首。字用修，号升庵，后因流放滇南，故自称博南山人、金马碧鸡老兵。杨廷和之子，汉族，四川新都（今成都市新都区）人，祖籍庐陵。正德六年状元，官翰林院修撰，豫修武宗实录。武宗微行出居庸关，上疏抗谏。世宗继位，任经筵讲官。嘉靖三年，因“大礼议”受廷杖，谪戍终老于云南永昌卫。终明一世记诵之博，著述之富，慎可推为第一。其诗虽不专主盛唐，仍有拟右倾向。贬谪以后，特多感愤。又能文、词及散曲，论古考证之作范围颇广。著作达百余种。后人辑为《升庵集》。► 179篇诗文 #https://so.gushiwen.org/authors/authorvsw_58f3c71f76d8A1.aspx # 179篇诗文
明代 #王守仁 #王守仁（1472年10月31日－1529年1月9日），汉族，幼名云，字伯安，号阳明，封新建伯，谥文成，人称王阳明。明代最著名的思想家、文学家、哲学家和军事家。王阳明不仅是宋明心学的集大成者，一生事功也是赫赫有名，故称之为“真三不朽”其学术思想在中国、日本、朝鲜半岛以及东南亚国家乃至全球都有重要而深远的影响，因此，王守仁（心学集大成者）和孔子（儒学创始人）、孟子（儒学集大成者）、朱熹（理学集大成者）并称为孔、孟、朱、王。► 58篇诗文 #https://so.gushiwen.org/authors/authorvsw_e8d2cec3ffbeA1.aspx # 58篇诗文
明代 #魏学洢 #魏学洢（约1596——约1625），字子敬，中国明朝末嘉善（今属浙江省嘉兴市）人，明朝末年的著名散文作家。是当地有名的秀才，也是一代明臣魏大中的长子，一生未做过官，好学善文，著有《茅檐集》。被清代人张潮收入《虞初新志》的《核舟记》，是其代表作。► 1篇诗文 #https://so.gushiwen.org/authors/authorvsw_5ccf74f5e777A1.aspx # 1篇诗文
明代 #宋濂 #宋濂（1310—1381）字景濂，号潜溪，别号玄真子、玄真道士、玄真遁叟。汉族，浦江（今浙江浦江县）人，元末明初文学家，曾被明太祖朱元璋誉为“开国文臣之首”，学者称太史公。宋濂与高启、刘基并称为“明初诗文三大家”。他因长孙宋慎牵连胡惟庸党案而被流放茂州，途中病死于夔州。他的代表作品有《送东阳马生序》、《朱元璋奉天讨元北伐檄文》等。► 76篇诗文 #https://so.gushiwen.org/authors/authorvsw_00133162b1d0A1.aspx # 76篇诗文
明代 #刘基 #刘基（1311年7月1日－1375年5月16日）字伯温，谥曰文成，元末明初杰出的军事谋略家、政治家、文学家和思想家，明朝开国元勋，汉族，浙江文成南田（原属青田）人，故时人称他刘青田，明洪武三年（1370）封诚意伯，人们又称他刘诚意。武宗正德九年追赠太师，谥号文成，后人又称他刘文成、文成公。他以神机妙算、运筹帷幄著称于世。刘伯温是中国古代的一位传奇人物，至今在中国大陆、港澳台乃至东南亚、日韩等地仍有广泛深厚的民间影响力。► 612篇诗文 #https://so.gushiwen.org/authors/authorvsw_a1f725c6aa25A1.aspx # 612篇诗文
明代 #洪应明 #[明]（约公元一五九六年前后在世）字自诚，号还初道人，里居及生卒年均不详，明代文学家，约明神宗万历中前后在世。生平事迹不详。著有《仙佛奇踪》四卷，《四库总目》多记老佛二家故事，由此得知他早年热衷于仕途功名，晚年则归隐山林，洗心礼老佛。万历三十年(1603)前后曾经居住在南京秦淮河一带，潜心著述。还与袁黄、冯梦桢等人有所交往。► 0篇诗文 #https://so.gushiwen.org/authors/authorvsw_19aa5e50d7f7A1.aspx # 0篇诗文
明代 #袁宏道 #袁宏道（1568～1610）明代文学家，字中郎，又字无学，号石公，又号六休。汉族，荆州公安（今属湖北公安）人。宏道在文学上反对“文必秦汉，诗必盛唐”的风气，提出“独抒性灵，不拘格套”的性灵说。与其兄袁宗道、弟袁中道并有才名，合称“公安三袁”。► 95篇诗文 #https://so.gushiwen.org/authors/authorvsw_826e21588e13A1.aspx # 95篇诗文
明代 #夏完淳 #夏完淳（1631～1647）原名复，字存古，号小隐、灵首（一作灵胥），乳名端哥，汉族，明松江府华亭县（现上海市松江）人，明末著名诗人，少年抗清英雄，民族英雄。夏允彝子。七岁能诗文。十四岁从父及陈子龙参加抗清活动。鲁王监国授中书舍人。事败被捕下狱，赋绝命诗，遗母与妻，临刑神色不变。著有《南冠草》、《续幸存录》等。► 16篇诗文 #https://so.gushiwen.org/authors/authorvsw_9d15e5726083A1.aspx # 16篇诗文
